,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,purpose,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_amnt,repay_fail
39,5900,60,11.49,131.93,3,RENT,24000,0,debt_consolidation,7928.340004,6000.0,1913.34,148.76,0
40,24900,36,15.57,873.63,7,MORTGAGE,200000,1,debt_consolidation,29280.77624,25000.0,4280.78,16196.06,0
41,10825,36,9.88,386.53,6,MORTGAGE,80000,0,debt_consolidation,13224.09719,12000.0,1224.1,19.46,0
42,14275,60,20.3,380.59,6,MORTGAGE,54000,1,home_improvement,20611.20871,14275.0,6336.21,8823.15,0
43,9934,36,14.11,342.29,1,RENT,45000,0,debt_consolidation,12322.38679,9999.99,2322.4,351.54,0
44,19775,36,10.59,652.53,9,MORTGAGE,76000,1,debt_consolidation,20746.87624,20050.0,696.88,2844.61,0
45,14666,60,12.61,339.44,0,RENT,65000,1,debt_consolidation,20366.11789,15050.0,5316.12,339.15,0
46,7000,36,11.49,230.8,2,RENT,72000,0,credit_card,8308.750002,7000.0,1308.75,245.14,0
47,5000,36,5.42,150.8,2,MORTGAGE,100000,0,debt_consolidation,5410.105852,5000.0,410.11,1197.82,0
48,5625,36,18.36,447.81,10,MORTGAGE,54000,0,debt_consolidation,16234.67126,12325.0,3909.67,216.09,0
49,8000,36,13.61,271.91,8,MORTGAGE,58000,1,credit_card,9560.659512,8000.0,1560.66,50.32,0
51,8500,36,10.62,276.76,2,RENT,45000,0,debt_consolidation,9385.106074,8500.0,885.11,5795.2,0
52,9418,60,10.75,206.46,5,MORTGAGE,75000,0,major_purchase,11652.6081,9550.0,2102.61,5463.99,0
53,11955,36,12.73,402.77,4,OWN,31000,0,debt_consolidation,14501.22566,12000.0,2501.23,466.45,0
55,19250,60,14.79,455.84,8,MORTGAGE,65004,1,debt_consolidation,26715.93,19250.0,7465.93,56.73,0
56,10975,60,10.37,235.73,10,MORTGAGE,48000,1,car,14068.66001,11000.0,3068.66,2310.28,0
57,6000,36,14.54,206.65,2,RENT,41196,1,credit_card,7441.761269,6000.0,1441.76,217.67,0
58,16000,36,10.99,523.75,0,OWN,52000,1,debt_consolidation,18779.64573,16000.0,2779.65,2728.64,0
59,7900,36,7.66,249.44,0,RENT,19200,1,major_purchase,8936.899904,8000.0,936.9,1991.79,0
60,30000,60,11.71,662.95,3,MORTGAGE,82000,1,other,9943.49,5940.22,3989.63,662.95,1
61,3500,36,5.42,105.56,5,RENT,60000,0,small_business,3800.487597,3500.0,300.49,114.82,0
62,5400,36,7.14,198.02,6,MORTGAGE,67807,0,home_improvement,7096.003486,6400.0,696.0,1562.45,0
63,13800,36,7.66,430.29,2,RENT,105000,1,debt_consolidation,15393.6719,13800.0,1593.67,3809.25,0
64,15000,36,17.99,542.22,2,MORTGAGE,63830,1,debt_consolidation,18087.37267,15000.0,3087.37,7723.26,0
65,1275,36,15.23,44.35,2,OWN,20400,1,debt_consolidation,1596.239355,1275.0,321.24,52.73,0
66,6500,36,14.72,224.44,1,RENT,40000,1,car,8080.346877,6500.0,1580.35,240.17,0
68,11025,60,22.06,309.72,7,RENT,75000,1,other,18315.30005,11200.0,7115.3,3139.02,0
69,24475,60,12.99,568.7,7,MORTGAGE,60106,1,debt_consolidation,33147.75,25000.0,8147.75,9892.57,0
70,13000,36,12.53,435.07,10,MORTGAGE,264000,1,credit_card,15662.17906,13000.0,2662.18,448.3,0
71,14665,36,13.79,681.51,10,MORTGAGE,120000,1,debt_consolidation,24042.21383,19999.99,4042.22,7690.82,0
72,10000,36,5.42,301.6,10,RENT,28000,0,debt_consolidation,10857.53439,10000.0,857.53,308.87,0
73,700,36,8.7,158.31,10,RENT,48000,0,major_purchase,5698.810312,5000.0,698.81,159.37,0
74,2000,36,8.49,63.13,0,RENT,22800,1,car,2060.182535,2000.0,60.18,1010.28,0
75,9950,36,15.27,347.98,0,RENT,64000,1,debt_consolidation,12527.15,10000.0,2527.15,371.66,0
76,1850,36,10.46,77.97,2,MORTGAGE,27000,0,major_purchase,2806.524715,2400.0,406.52,79.27,0
77,10000,36,7.29,310.1,5,RENT,99000,0,wedding,11163.54473,10000.0,1163.54,333.65,0
78,14825,36,12.69,497.31,8,MORTGAGE,75000,1,debt_consolidation,17721.13758,14825.0,2896.14,4320.74,0
79,4000,36,10.99,130.94,10,MORTGAGE,40000,0,other,4696.064507,4000.0,696.06,788.64,0
80,29550,36,8.9,938.31,2,RENT,148616,1,debt_consolidation,33635.75922,29550.0,4085.76,6432.53,0
81,875,36,6.91,42.4,0,RENT,37500,0,credit_card,1432.734627,1375.0,57.73,1136.31,0
82,4400,36,7.9,137.68,4,MORTGAGE,95000,0,debt_consolidation,4956.363334,4400.0,556.36,144.26,0
83,14900,36,15.95,526.99,7,MORTGAGE,54000,1,debt_consolidation,6321.72,4090.78,2230.94,550.97,1
84,6000,36,7.29,186.06,2,RENT,65004,1,debt_consolidation,6449.782699,6000.0,449.78,362.73,0
85,15875,60,13.72,369.4,3,OWN,100000,1,small_business,5189.78,2810.31,2347.6,369.4,1
86,3500,36,14.84,121.06,10,MORTGAGE,96000,1,medical,1567.02,1084.95,482.07,121.06,1
87,1000,36,13.12,85.23,0,MORTGAGE,40000,0,home_improvement,3068.020133,2525.0,543.02,89.89,0
88,2550,36,13.75,851.41,5,RENT,75000,0,home_improvement,7661.88,5323.38,2338.5,851.41,1
89,14000,60,20.25,372.87,5,RENT,42744,0,credit_card,14149.35,6423.87,6578.88,372.87,1
90,300,36,11.03,212.9,0,RENT,55000,0,debt_consolidation,7517.872492,6500.0,1017.87,2.16,0
91,2800,60,10.74,60.52,5,MORTGAGE,61200,1,car,3544.512784,2800.0,744.51,783.0,0
92,21550,36,12.99,727.69,10,MORTGAGE,280000,1,debt_consolidation,26240.80999,21600.0,4604.43,782.89,0
93,2040,36,13.23,74.38,0,RENT,12000,1,major_purchase,2398.909196,2200.0,198.91,259.28,0
94,3600,36,12.69,120.77,10,MORTGAGE,60000,0,medical,3612.83,2785.13,711.48,120.77,1
95,24750,36,12.69,838.63,6,RENT,92000,1,debt_consolidation,30190.27801,25000.0,5190.28,862.05,0
96,2390,36,13.79,340.76,0,RENT,40000,0,debt_consolidation,3200.67,2119.43,1047.16,101.18,1
97,20000,60,11.49,440.86,0,MORTGAGE,63000,1,debt_consolidation,25918.83001,20050.0,5868.83,6981.44,0
98,17825,36,12.18,599.4,2,RENT,101500,0,debt_consolidation,20390.84599,18000.0,2390.85,11412.43,0
99,11675,36,13.99,403.24,5,RENT,94000,1,debt_consolidation,14516.58325,11800.0,2716.58,437.49,0
100,5475,36,6.92,169.63,3,RENT,45000,0,debt_consolidation,6007.201116,5500.0,507.2,2447.8,0
101,3975,36,7.51,124.45,7,MORTGAGE,80000,1,debt_consolidation,4410.349929,4000.0,410.35,61.75,0
102,4300,36,13.35,162.55,2,RENT,26085,0,debt_consolidation,5850.280966,4800.0,1050.28,343.49,0
103,3000,36,11.36,98.74,10,RENT,108000,1,other,3553.737028,3000.0,553.74,202.95,0
104,5200,60,15.23,124.34,10,MORTGAGE,72000,1,car,3214.88,548.55,562.41,124.34,1
105,20975,60,15.23,502.13,7,MORTGAGE,90000,1,debt_consolidation,29745.38003,21000.0,8745.38,3386.75,0
106,8000,36,14.26,274.45,0,RENT,88500,0,other,5783.23,4003.04,1473.71,274.45,1
107,1700,36,10.71,58.69,10,MORTGAGE,123000,0,credit_card,1876.53091,1800.0,76.53,1642.16,0
108,5950,36,9.32,191.69,3,MORTGAGE,52000,1,other,6442.007726,6000.0,442.01,4425.63,0
109,5000,36,7.88,156.41,0,RENT,45000,1,debt_consolidation,5540.128901,5000.0,540.13,2100.26,0
110,12000,36,7.88,375.38,2,RENT,110000,0,debt_consolidation,13513.99628,12000.0,1514.0,390.96,0
111,4975,60,18.3,127.79,4,RENT,72000,1,home_improvement,5991.423678,5000.0,991.42,4332.85,0
112,9350,36,14.42,859.57,8,OWN,300000,1,home_improvement,29647.06479,25000.0,4647.06,13333.04,0
113,18811,36,15.65,699.73,1,RENT,60000,0,small_business,25191.35212,19999.99,5191.36,725.31,0
114,1500,36,10.74,48.93,6,RENT,80000,1,vacation,1654.441353,1500.0,154.44,232.0,0
115,15100,36,12.53,510.37,2,MORTGAGE,52000,1,home_improvement,6141.81,4446.75,1669.55,1556.63,1
116,19925,36,13.72,680.84,10,MORTGAGE,79000,1,debt_consolidation,22838.5867,20000.0,2838.59,10632.44,0
117,9875,36,8.59,316.11,0,OWN,150000,0,debt_consolidation,10865.4734,10000.0,865.47,6142.09,0
118,4000,36,5.42,120.64,1,MORTGAGE,90000,0,home_improvement,4131.491465,4000.0,131.49,3289.49,0
119,13000,36,8.9,412.8,10,MORTGAGE,60000,1,debt_consolidation,14752.93322,13000.0,1752.93,3610.3,0
120,14325,36,10.37,467.16,9,RENT,81380,1,debt_consolidation,16094.49074,14400.0,1694.49,363.32,0
121,12362,36,10.75,521.93,3,MORTGAGE,100000,1,other,16808.67823,16000.0,808.68,14204.86,0
122,3600,36,16.49,127.44,1,RENT,24216,0,debt_consolidation,3836.573687,3600.0,236.57,3328.24,0
123,20000,36,17.14,714.45,2,RENT,75000,1,debt_consolidation,24590.26334,20000.0,4590.26,10324.48,0
124,10000,36,12.42,334.16,1,RENT,42000,1,debt_consolidation,11638.07916,10000.0,1638.08,4963.14,0
125,12000,36,7.51,373.33,0,RENT,83000,1,debt_consolidation,3531.72,2435.23,547.09,373.33,1
126,4975,60,16.45,122.79,6,RENT,32000,1,debt_consolidation,5203.557983,5000.0,203.56,4959.31,0
127,3800,36,6.03,115.66,4,OWN,90000,1,other,4104.259128,3800.0,304.26,1676.62,0
128,1500,36,13.48,50.89,3,OWN,48000,0,other,284.6,127.84,64.94,70.0,1
129,11975,36,8.94,381.26,7,MORTGAGE,35088,0,debt_consolidation,13725.25003,12000.0,1725.25,409.42,0
130,5000,60,7.29,99.7,8,MORTGAGE,61200,0,car,5981.389324,5000.0,981.39,99.08,0
131,25975,60,12.69,587.47,10,RENT,49000,1,debt_consolidation,23514.32,15442.23,8042.19,602.99,1
132,16225,60,11.49,357.3,6,RENT,63600,1,debt_consolidation,21292.11998,16250.0,5042.12,3449.94,0
133,24975,60,12.98,568.58,3,MORTGAGE,85000,1,medical,34114.04,25000.0,9114.04,567.82,0
134,550,36,10.28,38.88,0,RENT,4000,0,educational,1399.520086,1200.0,199.52,39.73,0
135,34975,60,18.39,896.22,10,MORTGAGE,53000,1,small_business,30469.08,15598.65,14870.43,496.22,1
136,2590,36,13.79,115.86,10,MORTGAGE,63000,1,credit_card,4162.970989,3399.99,762.98,457.8,0
137,12950,36,7.88,406.66,2,MORTGAGE,37000,1,debt_consolidation,14640.35377,13000.0,1640.35,425.06,0
138,12325,60,10.65,271.77,10,MORTGAGE,55172,0,debt_consolidation,13038.8101,12600.0,438.81,17.03,0
139,12800,36,12.42,427.72,4,RENT,38000,0,credit_card,11334.69,8357.55,2318.62,427.72,1
140,9975,36,13.22,338.01,10,MORTGAGE,156000,0,credit_card,12157.35616,10000.0,2157.36,1019.59,0
141,7000,60,15.57,168.64,4,MORTGAGE,50000,0,debt_consolidation,8808.739093,6999.99,1808.75,5104.99,0
142,19708,60,11.99,444.79,10,MORTGAGE,39000,1,home_improvement,25752.82,19095.74,6657.08,444.79,0
143,806,36,10.71,167.09,10,MORTGAGE,65000,0,credit_card,6014.942565,5124.99,889.95,167.44,0
145,3500,60,17.99,88.86,10,MORTGAGE,116004,0,other,4615.64,2674.41,1756.71,88.86,1
146,4047,36,16.95,427.53,10,MORTGAGE,90000,1,debt_consolidation,15390.71497,12000.0,3390.72,430.38,0
147,19750,60,18.3,511.14,10,MORTGAGE,74276,0,credit_card,27179.14443,20000.0,7179.14,13401.39,0
148,5450,36,7.51,174.23,10,RENT,43000,1,debt_consolidation,6071.215355,5600.0,471.22,3263.76,0
149,24900,60,18.3,638.93,3,MORTGAGE,137496,1,debt_consolidation,37626.34027,25000.0,12626.34,7641.49,0
150,9875,60,13.23,228.71,0,RENT,42840,1,other,10743.87002,10000.0,743.87,9374.74,0
151,14325,36,7.66,448.99,9,MORTGAGE,90000,1,car,15532.72756,14400.0,1132.73,9283.18,0
152,12000,36,14.59,413.58,8,MORTGAGE,124000,0,credit_card,14889.25823,12000.0,2889.26,423.81,0
153,6475,36,7.74,202.93,2,RENT,18000,0,debt_consolidation,7172.543206,6500.0,672.54,2913.62,0
154,19000,36,11.99,630.99,4,MORTGAGE,105000,0,debt_consolidation,22715.25852,19000.0,3715.26,633.13,0
155,9813,36,11.89,497.46,2,RENT,70000,1,debt_consolidation,17774.45875,14999.99,2774.47,3883.2,0
156,1975,36,7.37,62.1,0,OWN,98000,0,other,2235.320941,2000.0,235.33,68.32,0
157,3500,36,14.27,120.09,0,RENT,34000,0,debt_consolidation,4322.847207,3500.0,822.85,128.59,0
158,3000,36,13.35,101.59,10,MORTGAGE,112500,1,wedding,3657.416032,3000.0,657.42,109.69,0
159,5000,36,11.86,165.74,2,RENT,67596,0,other,5967.318071,5000.0,967.32,189.74,0
160,21900,60,17.27,549.96,10,RENT,84000,1,debt_consolidation,29648.31,18837.22,10811.09,549.96,0
161,35000,60,21.36,953.97,9,MORTGAGE,254616,1,debt_consolidation,5721.3,2075.4,3645.9,953.97,1
163,15000,36,16.49,531.0,7,MORTGAGE,91980,0,credit_card,19108.40989,15000.0,4108.41,1066.37,0
164,9046,36,5.42,272.95,3,MORTGAGE,108000,0,debt_consolidation,9379.835926,9050.0,329.84,7203.61,0
165,4350,36,9.76,160.78,10,MORTGAGE,38000,0,credit_card,5787.793997,5000.0,787.79,170.7,0
166,14950,60,14.46,352.62,9,RENT,109000,1,debt_consolidation,21050.48003,15000.0,6035.48,3097.59,0
167,6650,36,13.49,237.52,6,RENT,83000,1,home_improvement,8542.533032,7000.0,1542.53,718.62,0
168,16026,36,13.48,610.64,6,RENT,58000,1,educational,20892.94268,18000.0,2892.94,10532.77,0
169,24700,36,13.06,843.08,6,MORTGAGE,168000,1,other,30351.25468,24999.99,5351.26,884.81,0
170,11750,60,12.69,271.14,3,OWN,60000,1,debt_consolidation,12376.11535,12000.0,376.12,11839.55,0
172,5000,60,11.12,109.02,10,MORTGAGE,36000,1,debt_consolidation,5519.46536,5000.0,519.47,106.37,0
173,19900,36,14.84,691.75,4,MORTGAGE,170000,1,debt_consolidation,21400.19304,20000.0,1400.19,17954.16,0
174,4800,36,6.39,146.88,4,RENT,56048,0,major_purchase,4850.900197,4800.0,50.9,4704.81,0
175,4000,36,14.17,137.05,1,RENT,30000,0,debt_consolidation,4933.400083,4000.0,933.4,150.53,0
177,8400,36,9.63,269.59,7,MORTGAGE,28800,0,car,9705.137314,8400.0,1305.14,285.48,0
178,23312,36,16.45,849.06,1,RENT,60000,0,debt_consolidation,30567.44762,24000.0,6567.45,888.17,0
179,14443,36,13.98,495.44,0,RENT,45600,0,debt_consolidation,17837.13758,14500.0,3337.14,527.22,0
180,3500,36,7.29,108.54,1,RENT,74400,0,car,3521.55,3500.0,21.55,3521.68,0
181,5000,36,13.99,170.87,10,RENT,65000,1,debt_consolidation,5428.72944,5000.0,428.73,4235.88,0
182,3575,36,8.94,114.38,0,RENT,25000,0,medical,4103.693648,3600.0,503.69,42.16,0
183,2800,36,14.22,96.0,3,RENT,21168,0,major_purchase,3457.096307,2800.0,657.1,9.26,0
184,5000,36,6.03,152.18,5,RENT,100000,0,debt_consolidation,5478.387981,5000.0,478.39,155.94,0
185,5306,36,6.17,183.0,10,MORTGAGE,81000,1,other,6588.019068,6000.0,588.02,185.97,0
186,1200,36,10.99,39.29,4,OWN,26000,0,home_improvement,1387.226374,1200.0,187.23,488.77,0
187,6000,36,5.42,180.96,10,RENT,55000,0,debt_consolidation,6514.848702,6000.0,514.85,187.89,0
188,5424,36,11.97,199.2,10,RENT,58800,0,debt_consolidation,4321.66,3235.58,947.27,413.4,1
189,9566,60,10.99,208.68,7,MORTGAGE,92000,1,car,12269.54001,9600.0,2669.54,3518.1,0
190,3000,36,13.61,101.97,0,RENT,65004,0,debt_consolidation,3667.624744,3000.0,667.62,319.66,0
191,11781,60,14.79,284.16,0,RENT,65000,1,wedding,16678.28407,12000.0,4678.28,880.2,0
192,8609,36,10.59,358.0,3,MORTGAGE,42000,0,small_business,6447.71,4641.1,1441.19,366.0,1
193,8975,36,10.99,294.61,5,RENT,51000,1,debt_consolidation,9670.975489,9000.0,670.98,83.05,0
194,2400,36,10.59,78.11,0,OWN,19200,1,major_purchase,2421.66,2400.0,21.66,2422.21,0
195,7200,36,10.59,234.33,10,MORTGAGE,43000,0,wedding,8407.784372,7200.0,1207.78,307.72,0
196,12800,36,13.49,434.31,10,OWN,80000,0,credit_card,15328.78261,12800.0,2528.78,4920.54,0
197,7475,60,11.12,163.52,5,MORTGAGE,57000,0,home_improvement,1629.8,977.15,652.65,163.52,1
198,8000,36,6.99,246.99,10,MORTGAGE,45000,0,home_improvement,8891.25,8000.0,891.25,251.71,0
199,11950,60,15.7,289.91,10,MORTGAGE,50376,0,debt_consolidation,17394.36792,12000.0,5394.37,311.31,0
200,10000,36,12.73,335.67,10,MORTGAGE,120000,1,debt_consolidation,10690.85058,10000.0,690.85,12.29,0
201,2475,36,10.08,129.22,6,RENT,32400,0,home_improvement,4372.208137,4000.0,372.21,2825.89,0
202,5472,36,7.51,186.67,4,RENT,30000,1,debt_consolidation,6631.405443,6000.0,631.41,2352.67,0
203,15000,60,18.79,387.38,2,MORTGAGE,98500,1,debt_consolidation,22860.91005,15000.0,7860.91,326.03,0
204,11200,60,14.17,261.6,0,OWN,25800,1,debt_consolidation,15588.83001,11200.0,4388.83,1968.92,0
205,12000,36,11.11,393.5,10,MORTGAGE,125000,1,home_improvement,14165.57522,12000.0,2165.58,447.84,0
206,5406,36,12.72,293.65,7,MORTGAGE,86610,1,credit_card,10561.89849,8749.99,1811.91,894.26,0
207,6000,36,5.79,181.97,10,MORTGAGE,154000,1,major_purchase,6317.762481,6000.0,317.76,4144.88,0
208,16022,60,13.23,375.66,1,RENT,68500,1,major_purchase,20867.15244,16425.0,4442.15,2352.66,0
209,14400,36,13.92,491.58,4,MORTGAGE,75000,0,debt_consolidation,17542.32209,14400.0,3142.32,3797.18,0
210,3060,36,14.38,412.35,2,MORTGAGE,100000,0,small_business,14862.2512,12000.0,2862.25,410.31,0
211,3600,60,17.93,91.28,2,RENT,15000,1,debt_consolidation,1145.72,443.36,557.86,91.28,1
212,11500,60,17.14,287.3,10,OWN,41676,1,major_purchase,17237.45717,11525.0,5712.46,286.75,0
213,8000,60,14.46,188.06,6,RENT,49000,1,debt_consolidation,11300.78462,8000.0,3285.78,2.19,0
214,8000,36,11.99,265.68,10,MORTGAGE,82000,1,debt_consolidation,9564.319371,8000.0,1564.32,267.29,0
215,19975,36,6.54,613.35,0,MORTGAGE,109000,1,home_improvement,21988.81651,20000.0,1988.82,4830.91,0
216,6000,36,6.62,184.23,1,MORTGAGE,82531,0,debt_consolidation,6625.921658,6000.0,625.92,746.16,0
217,10000,36,5.42,301.6,10,MORTGAGE,150000,1,major_purchase,10857.54,10000.0,857.54,314.42,0
218,9300,60,17.56,408.14,3,MORTGAGE,65004,1,debt_consolidation,18429.26306,16225.0,2204.26,14024.95,0
219,8000,36,11.71,264.61,2,RENT,115000,1,credit_card,9525.87,8000.0,1525.87,279.46,0
220,5400,36,7.88,168.92,5,MORTGAGE,78000,0,debt_consolidation,6057.928688,5400.0,657.93,1167.95,0
221,9000,36,7.14,309.4,10,MORTGAGE,47091,0,debt_consolidation,11087.49309,10000.0,1087.49,2441.44,0
222,9825,60,15.95,242.92,4,MORTGAGE,117000,1,other,13839.54642,10000.0,3839.55,4879.97,0
223,11875,36,5.79,363.93,10,RENT,80000,1,debt_consolidation,12840.57775,12000.0,840.58,6320.48,0
224,3000,36,11.86,99.45,3,RENT,35500,0,other,3545.778473,3000.0,545.78,871.84,0
225,9950,36,7.49,311.02,10,OWN,141000,0,home_improvement,11196.56943,10000.0,1196.57,357.12,0
227,8000,36,10.59,260.36,4,MORTGAGE,50000,0,other,9076.174889,8000.0,1076.17,1859.04,0
228,15732,36,10.59,585.81,8,RENT,80000,0,debt_consolidation,20070.3477,18000.0,2070.35,11294.94,0
229,7274,36,13.16,405.25,10,MORTGAGE,78996,0,other,14434.33819,12000.0,2434.34,3497.33,0
230,1000,36,9.99,32.27,3,MORTGAGE,35138,1,home_improvement,1062.513596,1000.0,62.51,585.83,0
231,23311,36,16.32,882.89,10,OWN,95000,0,wedding,31785.08509,25000.0,6785.09,904.03,0
232,8625,60,16.32,212.44,0,MORTGAGE,40000,1,credit_card,11648.93431,8675.0,2973.93,5285.51,0
233,11975,36,17.88,433.11,2,MORTGAGE,57600,1,small_business,6055.42,3921.32,2134.1,433.11,1
234,5975,36,7.88,187.69,4,RENT,90000,0,debt_consolidation,6756.926812,6000.0,756.93,195.29,0
235,7950,36,11.36,263.29,1,RENT,58000,0,debt_consolidation,9427.321395,8000.0,1427.32,1804.88,0
236,11850,36,7.88,375.38,10,RENT,55500,1,major_purchase,12079.64,12000.0,79.64,12082.26,0
237,1500,36,6.03,45.66,10,RENT,50400,1,other,1641.573026,1500.0,126.57,577.41,0
238,16800,60,15.57,404.72,10,MORTGAGE,123531,0,debt_consolidation,19021.84,11966.05,7019.91,404.72,1
239,22000,36,21.64,836.1,2,RENT,125004,1,debt_consolidation,28463.394,22000.0,6463.39,11746.78,0
240,11950,36,6.03,365.23,10,MORTGAGE,99000,1,house,12232.87021,12000.0,232.87,11139.51,0
241,3500,36,12.99,117.92,1,MORTGAGE,60000,1,major_purchase,4189.97413,3500.0,689.97,1129.29,0
242,1875,36,13.49,63.62,1,RENT,14400,1,credit_card,2301.766959,1875.0,411.77,257.82,0
243,12000,36,10.37,389.3,0,RENT,63000,1,debt_consolidation,14014.55407,12000.0,2014.55,399.44,0
244,14970,36,13.11,506.18,8,MORTGAGE,233000,0,home_improvement,18223.36682,15000.0,3223.37,539.04,0
245,10725,60,15.23,257.05,10,RENT,36960,1,car,15041.85001,10750.0,4291.85,4014.16,0
246,1000,36,13.49,33.94,0,RENT,18000,1,medical,703.21,502.9,171.9,33.94,1
247,1975,60,10.99,43.48,3,RENT,16000,0,other,2489.077078,2000.0,489.08,1015.42,0
248,9800,36,8.94,317.72,10,MORTGAGE,88000,0,credit_card,11438.57285,10000.0,1438.57,349.39,0
249,11600,36,8.49,378.76,9,MORTGAGE,97000,1,debt_consolidation,12753.65515,12000.0,753.66,9370.1,0
250,24600,36,11.83,828.35,0,OWN,250000,1,debt_consolidation,29820.53596,25000.0,4820.54,895.78,0
251,24665,36,12.53,829.97,8,MORTGAGE,87000,0,debt_consolidation,29879.78251,24800.0,5079.78,882.81,0
252,7200,60,17.27,179.99,5,RENT,103000,1,debt_consolidation,9695.8,6160.75,3535.05,179.99,0
253,8000,36,10.74,260.93,5,MORTGAGE,40000,1,debt_consolidation,9393.72053,8000.0,1393.72,272.98,0
254,4475,36,6.62,138.17,4,RENT,70000,0,credit_card,4973.980001,4500.0,473.98,149.35,0
255,2200,36,7.49,68.43,10,MORTGAGE,45000,0,credit_card,1119.38,866.43,176.97,90.86,1
256,10000,36,10.59,325.45,2,MORTGAGE,63000,0,credit_card,11674.7247,10000.0,1674.72,1928.79,0
257,7500,60,14.79,177.6,7,RENT,25000,1,credit_card,7390.84,4223.03,2688.37,177.6,1
258,16742,36,12.87,571.77,2,RENT,41400,0,other,20584.0758,16999.99,3584.08,578.93,0
